date,BAJAJ-AUTO,BEL,BHARTIARTL,M&M,TRENT
2023-12-11 05:30:00,0.22365417775518415,0.15840517241379293,0.0816491948557223,0.07467152335111149,0.3993492302462254
2023-12-12 05:30:00,0.24673823121928717,0.15517241379310343,0.07559710364206196,0.06374398334850984,0.40039337574668665
2023-12-13 05:30:00,0.259077634582223,0.16989942528735602,0.08062250081054789,0.08374528424612926,0.43919673643825075
2023-12-14 05:30:00,0.2628153375394935,0.1781609195402296,0.08635037285204805,0.1080720697281119,0.4495410616288682
2023-12-15 05:30:00,0.25092445853142986,0.21443965517241348,0.0726791310926187,0.1219916742552356,0.45196930697877846
2023-12-18 05:30:00,0.28889952057729884,0.2406609195402294,0.07019345077272243,0.11278782359828221,0.44308192899810717
2023-12-19 05:30:00,0.2795901484117236,0.24317528735632155,0.06824813573976019,0.10534018472746132,0.4573357292020799
2023-12-20 05:30:00,0.2687159246080377,0.2015086206896548,0.04998378904139211,0.07125666710029877,0.4321548249235114
2023-12-21 05:30:00,0.24517337958117635,0.22593390804597657,0.05684642818545349,0.06273578769350796,0.43519013161089926
2023-12-22 05:30:00,0.27024090741460416,0.255747126436781,0.0694369393710148,0.06299596721737943,0.44019231703171435
2023-12-26 05:30:00,0.28867027479591956,0.30711206896551646,0.08056846428185449,0.08120853388838234,0.4423777378466336
2023-12-27 05:30:00,0.33752952785336054,0.29454022988505657,0.10364206203393489,0.09792506829712444,0.46216793744840157
2023-12-28 05:30:00,0.33626369245183163,0.3124999999999991,0.12039338592888771,0.12817093794718293,0.4695740857656274
2023-12-29 05:30:00,0.3549920760697287,0.32327586206896486,0.11553009834648198,0.1248861714583056,0.4836336263416072
2024-01-01 05:30:00,0.33582513530484537,0.3286637931034475,0.09483410785691082,0.10790945752569203,0.45796707299305695
2024-01-02 05:30:00,0.3286387784189999,0.30854885057471204,0.10418242732086846,0.07727331858982645,0.4546160944101809
2024-01-03 05:30:00,0.39271795791844655,0.3099856321839074,0.11877229006808565,0.07665539222063167,0.4852848331795463
2024-01-04 05:30:00,0.3798901613690939,0.34267241379310276,0.13249756835620863,0.0678418108494856,0.48989849934437557
2024-01-05 05:30:00,0.3911232046566777,0.3358477011494245,0.13109261861018018,0.06803694549238903,0.4887815064834171
2024-01-08 05:30:00,0.3921896959004856,0.31896551724137856,0.13374040851615665,0.051222843762195325,0.47858287601379446
2024-01-09 05:30:00,0.41412752045769197,0.32650862068965436,0.1504376958824163,0.060166514895277246,0.5130153950755205
2024-01-10 05:30:00,0.40612385252519,0.3333333333333326,0.14849238084945404,0.06205281644334537,0.5412558884949756
2024-01-11 05:30:00,0.454983105582631,0.32435344827586143,0.14865449043553403,0.05935345388317881,0.5423243164489362
